airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-894,Hyderabad,Evening,one,Night,Mumbai,Economy,26.25,35,48
Air_India,AI-762,Delhi,Night,one,Night,Chennai,Economy,25.08,43,61
GO_FIRST,G8-626,Kolkata,Afternoon,zero,Afternoon,Hyderabad,Economy,2.33,39,38
Vistara,UK-898,Hyderabad,Early_Morning,one,Morning,Mumbai,Economy,26.58,20,48
Air_India,AI-409,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,8,181
Indigo,6E-496,Kolkata,Early_Morning,one,Evening,Bangalore,Economy,11.92,4,94
Air_India,AI-402,Kolkata,Morning,one,Evening,Hyderabad,Economy,8.92,25,69
Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,9.0,21,96
Air_India,AI-732,Kolkata,Afternoon,one,Night,Delhi,Economy,7.92,36,67
Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,20,106
Vistara,UK-776,Kolkata,Evening,one,Night,Chennai,Economy,5.5,19,95
Vistara,UK-846,Bangalore,Morning,one,Night,Hyderabad,Economy,12.42,19,72
Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Bangalore,Business,9.17,2,884
Vistara,UK-988,Mumbai,Night,one,Morning,Chennai,Business,13.0,47,836
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,7,80
Vistara,UK-832,Chennai,Early_Morning,one,Night,Hyderabad,Economy,15.83,47,55
GO_FIRST,G8-2417,Mumbai,Evening,one,Night,Delhi,Economy,5.5,12,80
Air_India,AI-506,Delhi,Morning,one,Early_Morning,Hyderabad,Economy,22.08,25,80
GO_FIRST,G8-173,Delhi,Morning,one,Evening,Bangalore,Economy,6.83,14,100
Air_India,AI-865,Delhi,Morning,one,Morning,Chennai,Business,24.25,40,611
Vistara,UK-958,Mumbai,Afternoon,one,Night,Chennai,Economy,7.83,6,150
Air_India,AI-770,Kolkata,Night,one,Afternoon,Bangalore,Business,16.0,30,823
Vistara,UK-890,Hyderabad,Evening,one,Morning,Chennai,Business,16.25,49,698
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,35,67
Vistara,UK-738,Kolkata,Evening,one,Evening,Bangalore,Business,22.25,24,1065
AirAsia,I5-784,Delhi,Evening,one,Late_Night,Kolkata,Economy,9.5,37,66
Air_India,AI-804,Bangalore,Early_Morning,one,Morning,Hyderabad,Economy,26.83,46,84
Air_India,AI-540,Delhi,Night,one,Afternoon,Kolkata,Business,17.25,47,642
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Chennai,Business,16.58,29,756
GO_FIRST,G8-305,Chennai,Morning,one,Evening,Bangalore,Economy,8.17,8,163
Vistara,UK-832,Chennai,Early_Morning,one,Night,Bangalore,Business,15.75,31,814
AirAsia,I5-787,Delhi,Early_Morning,one,Night,Chennai,Economy,16.25,9,100
Vistara,UK-863,Mumbai,Morning,one,Night,Delhi,Business,12.5,13,718
Air_India,AI-525,Hyderabad,Early_Morning,zero,Morning,Kolkata,Business,2.08,9,270
Indigo,6E-5392,Mumbai,Evening,one,Late_Night,Delhi,Economy,6.83,34,57
Indigo,6E-841,Bangalore,Afternoon,one,Night,Kolkata,Economy,7.17,25,70
Indigo,6E-2093,Hyderabad,Morning,one,Evening,Kolkata,Economy,7.67,8,96
Indigo,6E-2092,Delhi,Evening,one,Night,Mumbai,Economy,5.33,37,53
Indigo,6E-832,Mumbai,Early_Morning,one,Morning,Kolkata,Economy,5.17,39,54
Vistara,UK-954,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,5.83,9,150
Indigo,6E-676,Bangalore,Night,zero,Night,Kolkata,Economy,2.67,27,46
Vistara,UK-930,Mumbai,Early_Morning,one,Night,Bangalore,Business,15.17,7,1034
Air_India,AI-675,Mumbai,Early_Morning,one,Evening,Chennai,Economy,10.92,48,70
Indigo,6E-2348,Delhi,Evening,one,Late_Night,Chennai,Economy,4.92,37,45
Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Mumbai,Business,12.08,31,844
Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Bangalore,Business,6.33,28,514
Vistara,UK-863,Mumbai,Morning,one,Night,Delhi,Economy,11.42,36,83
Vistara,UK-822,Chennai,Morning,one,Night,Bangalore,Business,11.17,26,596
Indigo,6E-6017,Bangalore,Evening,one,Night,Mumbai,Economy,5.83,45,41
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Bangalore,Economy,13.58,23,91
Air_India,AI-430,Chennai,Morning,one,Evening,Mumbai,Economy,10.08,31,59
GO_FIRST,G8-803,Bangalore,Evening,one,Late_Night,Chennai,Economy,6.25,49,77
Indigo,6E-2005,Delhi,Morning,one,Evening,Bangalore,Economy,8.83,22,44
Air_India,AI-811,Delhi,Evening,one,Afternoon,Mumbai,Economy,18.92,47,71
Vistara,UK-858,Bangalore,Early_Morning,one,Evening,Delhi,Economy,13.08,1,148
SpiceJet,SG-242,Kolkata,Morning,zero,Afternoon,Mumbai,Economy,2.75,32,61
Indigo,6E-2763,Hyderabad,Night,zero,Night,Delhi,Economy,2.25,44,43
GO_FIRST,G8-118,Bangalore,Night,one,Afternoon,Mumbai,Economy,14.92,21,70
AirAsia,I5-548,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,7.58,41,42
Vistara,UK-977,Delhi,Evening,one,Morning,Kolkata,Business,14.67,42,915
Indigo,6E-684,Bangalore,Night,one,Early_Morning,Kolkata,Economy,8.17,47,60
Indigo,6E-591,Chennai,Morning,zero,Afternoon,Hyderabad,Economy,1.33,38,51
Indigo,6E-5379,Mumbai,Evening,zero,Night,Chennai,Economy,2.08,33,40
Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Chennai,Business,11.67,11,937
Vistara,UK-708,Kolkata,Night,one,Evening,Hyderabad,Economy,20.58,18,78
Air_India,AI-515,Hyderabad,Morning,one,Night,Delhi,Economy,11.0,14,166
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,14,868
Vistara,UK-858,Bangalore,Early_Morning,one,Evening,Chennai,Economy,13.25,5,125
Vistara,UK-708,Kolkata,Night,one,Morning,Bangalore,Economy,12.25,28,109
Vistara,UK-826,Chennai,Afternoon,two_or_more,Night,Hyderabad,Economy,8.42,40,81
Air_India,AI-687,Mumbai,Afternoon,one,Afternoon,Chennai,Economy,20.67,28,60
Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Business,6.58,13,573
Air_India,AI-765,Kolkata,Evening,zero,Evening,Chennai,Economy,2.42,36,40
Air_India,AI-660,Mumbai,Evening,one,Afternoon,Chennai,Business,18.67,17,670
AirAsia,I5-1517,Hyderabad,Evening,one,Late_Night,Mumbai,Economy,10.25,23,56
Vistara,UK-836,Chennai,Morning,two_or_more,Night,Bangalore,Economy,11.92,22,87
Indigo,6E-6067,Bangalore,Evening,one,Late_Night,Delhi,Economy,8.75,20,58
Indigo,6E-2148,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,8.0,6,120
Vistara,UK-778,Kolkata,Afternoon,zero,Evening,Delhi,Business,2.42,19,397
Vistara,UK-977,Delhi,Evening,one,Evening,Kolkata,Economy,21.83,42,97
Air_India,AI-767,Delhi,Afternoon,one,Night,Bangalore,Business,8.67,37,709
Vistara,UK-858,Bangalore,Early_Morning,one,Evening,Kolkata,Economy,10.17,35,85
Vistara,UK-738,Kolkata,Evening,one,Evening,Mumbai,Economy,21.75,25,82
Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Economy,9.83,6,158
Vistara,UK-877,Mumbai,Morning,one,Morning,Bangalore,Economy,22.08,27,63
Indigo,6E-6016,Chennai,Evening,zero,Night,Kolkata,Economy,2.17,24,78
GO_FIRST,G8-395,Bangalore,Morning,one,Night,Chennai,Economy,14.17,21,63
Vistara,UK-864,Bangalore,Evening,one,Evening,Chennai,Business,24.92,23,598
Vistara,UK-994,Mumbai,Morning,one,Night,Kolkata,Business,12.33,16,945
Vistara,UK-985,Delhi,Evening,one,Morning,Chennai,Economy,16.0,11,156
AirAsia,I5-552,Kolkata,Early_Morning,one,Evening,Bangalore,Economy,11.08,37,108
Air_India,AI-676,Kolkata,Morning,one,Night,Hyderabad,Economy,13.92,28,101
Vistara,UK-890,Hyderabad,Evening,one,Night,Bangalore,Business,26.75,49,765
Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Business,11.75,5,770
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,41,532
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Bangalore,Business,13.08,25,823
GO_FIRST,G8-7535,Delhi,Evening,zero,Evening,Mumbai,Economy,2.08,17,63
GO_FIRST,G8-383,Mumbai,Afternoon,one,Night,Kolkata,Economy,7.75,29,67
Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Business,11.75,9,1087
AirAsia,I5-972,Hyderabad,Evening,one,Night,Bangalore,Economy,5.58,25,37
Vistara,UK-866,Bangalore,Night,one,Morning,Kolkata,Economy,12.0,5,180
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,37,42
Indigo,6E-6505,Hyderabad,Night,one,Early_Morning,Kolkata,Economy,8.58,10,71
GO_FIRST,G8-275,Delhi,Evening,one,Late_Night,Bangalore,Economy,7.08,12,100
Vistara,UK-816,Bangalore,Morning,one,Night,Kolkata,Business,11.25,18,1059
Vistara,UK-706,Kolkata,Morning,one,Night,Hyderabad,Business,10.67,39,1078
GO_FIRST,G8-717,Delhi,Evening,one,Night,Mumbai,Economy,4.75,5,128
AirAsia,I5-830,Kolkata,Night,one,Afternoon,Bangalore,Economy,12.75,19,52
Vistara,UK-812,Bangalore,Morning,one,Night,Chennai,Business,13.0,25,815
Vistara,UK-870,Hyderabad,Night,one,Evening,Bangalore,Economy,20.42,33,87
Air_India,AI-505,Bangalore,Morning,one,Night,Chennai,Economy,13.17,46,87
Vistara,UK-996,Mumbai,Evening,zero,Night,Delhi,Business,2.17,44,495
Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Economy,9.0,37,85
Indigo,6E-371,Hyderabad,Evening,zero,Evening,Bangalore,Economy,1.33,6,63
Air_India,AI-411,Delhi,Early_Morning,one,Evening,Bangalore,Economy,12.75,36,60
GO_FIRST,G8-143,Delhi,Morning,one,Evening,Bangalore,Economy,7.17,35,93
Indigo,6E-512,Kolkata,Afternoon,one,Evening,Hyderabad,Economy,4.5,7,129
Vistara,UK-994,Mumbai,Morning,one,Night,Bangalore,Business,12.92,8,904
Vistara,UK-776,Kolkata,Evening,one,Night,Chennai,Business,5.5,46,749
Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,49,68
Vistara,UK-941,Delhi,Evening,one,Early_Morning,Bangalore,Business,15.08,12,679
Vistara,UK-878,Hyderabad,Afternoon,one,Night,Delhi,Business,7.75,25,731
Air_India,AI-9501,Bangalore,Early_Morning,two_or_more,Early_Morning,Chennai,Economy,24.08,40,84
Air_India,AI-402,Kolkata,Morning,one,Night,Mumbai,Business,11.17,22,679
Air_India,AI-430,Chennai,Morning,one,Night,Bangalore,Business,10.17,14,814
Indigo,6E-2753,Delhi,Evening,one,Night,Bangalore,Economy,6.5,8,144
Vistara,UK-910,Mumbai,Evening,one,Evening,Chennai,Business,22.75,31,776
Vistara,UK-876,Hyderabad,Night,one,Evening,Kolkata,Business,19.25,43,712
Air_India,AI-773,Kolkata,Evening,one,Afternoon,Delhi,Business,19.33,47,726
Vistara,UK-772,Kolkata,Morning,one,Morning,Bangalore,Business,22.42,21,706
AirAsia,I5-942,Mumbai,Afternoon,one,Late_Night,Delhi,Economy,12.25,23,32
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,9.67,6,153
SpiceJet,SG-4010,Chennai,Morning,one,Evening,Kolkata,Economy,11.58,36,65
GO_FIRST,G8-383,Mumbai,Afternoon,one,Night,Kolkata,Economy,7.75,14,100
Vistara,UK-963,Delhi,Morning,one,Evening,Chennai,Economy,11.08,48,67
Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,18,671
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Business,5.83,12,718
Vistara,UK-776,Kolkata,Evening,one,Morning,Chennai,Economy,18.25,41,96
SpiceJet,SG-406,Kolkata,Night,one,Early_Morning,Chennai,Economy,11.42,35,66
Vistara,UK-958,Mumbai,Afternoon,one,Night,Bangalore,Business,8.0,9,845
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Economy,13.67,45,111
Air_India,AI-867,Mumbai,Night,one,Morning,Hyderabad,Business,14.42,22,617
Indigo,6E-929,Chennai,Afternoon,one,Night,Kolkata,Economy,7.0,25,68
Air_India,AI-543,Hyderabad,Morning,one,Night,Chennai,Business,12.25,30,697
Vistara,UK-816,Bangalore,Morning,one,Evening,Hyderabad,Economy,8.42,40,85
Vistara,UK-996,Mumbai,Evening,zero,Night,Delhi,Economy,2.17,49,32
Air_India,AI-687,Mumbai,Afternoon,one,Night,Chennai,Business,7.58,29,670
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Business,12.75,27,718
Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Business,5.33,30,557
Vistara,UK-814,Bangalore,Night,one,Morning,Kolkata,Economy,11.42,6,205
Vistara,UK-824,Chennai,Night,one,Evening,Delhi,Economy,20.25,28,104
Air_India,AI-508,Hyderabad,Afternoon,one,Night,Mumbai,Economy,8.0,26,52
Air_India,AI-637,Mumbai,Evening,two_or_more,Afternoon,Kolkata,Economy,20.75,49,83
GO_FIRST,G8-336,Delhi,Afternoon,one,Night,Kolkata,Economy,9.25,35,86
Vistara,UK-847,Delhi,Morning,one,Afternoon,Bangalore,Business,4.83,35,749
Vistara,UK-738,Kolkata,Evening,one,Morning,Bangalore,Economy,13.92,10,160
AirAsia,I5-517,Hyderabad,Morning,zero,Afternoon,Kolkata,Economy,2.08,12,71
Air_India,AI-543,Hyderabad,Morning,one,Night,Mumbai,Business,9.92,3,757
Indigo,6E-146,Bangalore,Late_Night,zero,Early_Morning,Kolkata,Economy,2.67,22,53
GO_FIRST,G8-338,Delhi,Morning,one,Evening,Bangalore,Economy,5.67,36,54
Vistara,UK-873,Mumbai,Early_Morning,one,Evening,Delhi,Business,13.58,7,609
Vistara,UK-955,Delhi,Evening,one,Night,Bangalore,Business,5.08,39,770
Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Business,13.58,23,845
Vistara,UK-838,Chennai,Night,one,Evening,Kolkata,Economy,22.5,20,80
Vistara,UK-720,Kolkata,Early_Morning,one,Night,Mumbai,Economy,15.67,46,82
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Business,12.17,39,718
Vistara,UK-828,Chennai,Early_Morning,one,Evening,Bangalore,Economy,12.5,22,98
Vistara,UK-772,Kolkata,Morning,one,Night,Delhi,Economy,12.0,36,138
Air_India,AI-569,Chennai,Early_Morning,one,Night,Kolkata,Business,17.33,9,735
GO_FIRST,G8-118,Bangalore,Night,one,Early_Morning,Kolkata,Economy,10.08,27,70
Vistara,UK-832,Chennai,Early_Morning,one,Night,Hyderabad,Business,16.0,33,695
Vistara,UK-927,Delhi,Morning,one,Evening,Bangalore,Business,8.25,8,939
Vistara,UK-824,Chennai,Night,one,Night,Hyderabad,Economy,24.42,6,184
Air_India,AI-732,Kolkata,Afternoon,one,Night,Hyderabad,Economy,8.58,31,69
Vistara,UK-995,Delhi,Morning,one,Night,Hyderabad,Business,10.58,47,698
Air_India,AI-9891,Hyderabad,Evening,two_or_more,Afternoon,Mumbai,Economy,18.67,31,107
Vistara,UK-927,Delhi,Morning,one,Evening,Bangalore,Economy,9.75,18,61
Vistara,UK-890,Hyderabad,Evening,one,Morning,Kolkata,Economy,15.92,11,160
Air_India,AI-808,Bangalore,Night,one,Evening,Kolkata,Economy,22.17,44,111
Indigo,6E-5338,Mumbai,Morning,one,Afternoon,Chennai,Economy,7.42,21,49
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,34,804
Vistara,UK-708,Kolkata,Night,one,Morning,Mumbai,Business,15.17,10,877
Air_India,AI-773,Kolkata,Evening,one,Morning,Delhi,Economy,15.92,10,252
Air_India,AI-640,Bangalore,Early_Morning,one,Night,Delhi,Business,14.5,39,574
Air_India,AI-604,Bangalore,Morning,one,Night,Hyderabad,Economy,13.83,48,53
Indigo,6E-6737,Hyderabad,Early_Morning,zero,Morning,Delhi,Economy,2.25,37,36
SpiceJet,SG-4031,Kolkata,Evening,one,Evening,Delhi,Economy,24.67,37,85
Indigo,6E-6088,Mumbai,Night,zero,Night,Kolkata,Economy,2.42,34,61
Air_India,AI-505,Bangalore,Morning,one,Evening,Mumbai,Economy,9.58,37,83
Vistara,UK-930,Mumbai,Early_Morning,one,Night,Hyderabad,Business,15.42,8,815
GO_FIRST,G8-330,Delhi,Night,one,Early_Morning,Kolkata,Economy,10.5,15,80
Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,Economy,17.92,28,63
Vistara,UK-832,Chennai,Early_Morning,one,Evening,Hyderabad,Business,9.92,49,695
Vistara,UK-870,Hyderabad,Night,one,Evening,Mumbai,Business,21.08,17,787
Indigo,6E-6467,Hyderabad,Afternoon,one,Evening,Kolkata,Economy,6.08,10,71
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Bangalore,Business,7.0,10,1202
Vistara,UK-944,Mumbai,Afternoon,one,Night,Chennai,Business,8.08,49,836
Vistara,UK-958,Mumbai,Afternoon,one,Night,Bangalore,Business,8.0,21,845
Air_India,AI-483,Delhi,Evening,one,Evening,Hyderabad,Economy,25.08,37,81
GO_FIRST,G8-327,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Economy,6.67,43,58
GO_FIRST,G8-118,Bangalore,Night,one,Morning,Mumbai,Economy,12.25,14,70
SpiceJet,SG-4027,Kolkata,Morning,one,Evening,Mumbai,Economy,8.67,21,166
Indigo,6E-283,Hyderabad,Evening,zero,Evening,Kolkata,Economy,2.25,45,101
Air_India,AI-9891,Hyderabad,Evening,two_or_more,Morning,Chennai,Economy,14.75,15,186
